"Site","Quadrat","Year","Depth metres","Temperature celsius","Sand %","Macroalgae %","Microalgae %","Corals %"
"LTER05","Q1.2",2006,"1",27.6266973004021,31.4,0,47.9,20.7
"LTER06","Q1.2",2006,"1",27.6461775296144,64.4,3.7,20.2,11.6
"LTER01","Q1.2",2007,"1",28.0634093245878,42.9,0,52.5,0
"LTER02","Q1.2",2007,"1",27.4090923974943,0,0,3.7,0
"LTER03","Q1.2",2007,"1",28.0712776324747,2.1,0.5,52.8,28.5
"LTER04","Q1.2",2007,"1",28.0299992839754,10.7,0.5,57.4,31.4
"LTER05","Q1.2",2007,"1",28.117369361003,1.1,2.2,45.1,51.1
"LTER06","Q1.2",2007,"1",28.0809681683398,74.1,0,25.9,0
"LTER01","Q1.2",2008,"1",27.6146916441844,52.3,1,43,3.6
"LTER02","Q1.2",2008,"1",27.7110048381094,0,0,1.5,98.5
"LTER03","Q1.2",2008,"1",27.820307308452,25,2,38,35
"LTER04","Q1.2",2008,"1",27.6445644864074,92,0.5,7.5,0
"LTER05","Q1.2",2008,"1",27.7679004491018,29.8,0,6.1,64.1
"LTER06","Q1.2",2008,"1",27.6501033257992,80,0,20,0
"LTER01","Q1.2",2009,"1",27.9906445963182,54.9,0,32.6,12.4
"LTER02","Q1.2",2009,"1",28.0414380366696,0,0,1,99
"LTER03","Q1.2",2009,"1",27.994474226357,0,0.5,66.8,32.7
"LTER04","Q1.2",2009,"1",27.9707363972128,38.8,2,49.5,9.7
"LTER05","Q1.2",2009,"1",28.0576962174716,6.1,0,10.2,83.7
"LTER06","Q1.2",2009,"1",28.1397490753499,95,0,3.5,1.5
"LTER01","Q1.2",2010,"1",27.887508013432,79.8,0,15,5.2
"LTER02","Q1.2",2010,"1",27.9095695528069,0,0.5,15.5,83.9
"LTER03","Q1.2",2010,"1",27.9704774682195,29.5,0,58,12.4
"LTER04","Q1.2",2010,"1",27.8959225000952,63.4,0,16.4,20.2
"LTER05","Q1.2",2010,"1",28.2852811235068,1.6,0.5,15.2,82.7
"LTER06","Q1.2",2010,"1",27.8899431028905,74.6,0,11.9,13.5
"LTER01","Q1.2",2011,"1",27.229412682704,55.2,0,35.9,8.9
"LTER02","Q1.2",2011,"1",27.2557628312519,2.1,5.8,22,70.2
"LTER03","Q1.2",2011,"1",27.5005280113145,16,0,68.5,15.6
"LTER04","Q1.2",2011,"1",27.2244127165429,5.9,10.8,45.2,38.1
"LTER05","Q1.2",2011,"1",27.2567307991495,19.9,3.3,28.7,48.1
"LTER06","Q1.2",2011,"1",27.2498702041283,71.5,1.1,20.7,6.7
"LTER01","Q1.2",2012,"1",27.7841114724171,30.1,12.4,54.4,3.1
"LTER02","Q1.2",2012,"1",27.758065649754,0,30.9,38.3,30.9
"LTER03","Q1.2",2012,"1",27.6645911251981,13.4,0.5,73.1,12.9
"LTER04","Q1.2",2012,"1",27.7159185300482,26.7,0,35,38.3
"LTER05","Q1.2",2012,"1",27.8079607537708,7.5,1.1,9.1,82.4
"LTER06","Q1.2",2012,"1",27.7190939144643,63.7,7.1,11,18.1
"LTER01","Q1.2",2013,"1",27.6504694813144,62.7,0,34.6,2.7
"LTER02","Q1.2",2013,"1",27.506674492737,0.5,2.1,75.4,19.8
"LTER03","Q1.2",2013,"1",27.5195094462167,23.1,0,68.8,8.1
"LTER04","Q1.2",2013,"1",27.4603885629097,17.1,1.7,50.3,31
"LTER05","Q1.2",2013,"1",27.471182624576,8.1,0.6,17.8,73.6
"LTER06","Q1.2",2013,"1",27.4961078703076,76.5,4.8,13.9,3.6
"LTER01","Q1.2",2014,"1",27.7898602262202,56.4,0.6,43,0
"LTER02","Q1.2",2014,"1",27.8362737713179,6.9,13.2,70.9,7.4
"LTER03","Q1.2",2014,"1",27.8329987813702,32,0,59.5,8.4
"LTER04","Q1.2",2014,"1",27.7586491685873,75.7,3.4,20.9,0
"LTER05","Q1.2",2014,"1",27.904828222844,10.4,2.2,15.3,72.1
"LTER06","Q1.2",2014,"1",27.8239230913424,66,2.2,24.9,7
"LTER01","Q1.2",2015,"1",28.2533522618363,44.6,33.3,20.9,0
"LTER02","Q1.2",2015,"1",27.9682522385216,2.7,22.6,69.4,1.1
"LTER03","Q1.2",2015,"1",27.9845805333993,34.9,3.4,49.7,12
"LTER04","Q1.2",2015,"1",27.909146250928,99.4,0,0.6,0
"LTER05","Q1.2",2015,"1",28.0040059573818,3.2,1.6,26.3,68.3
"LTER06","Q1.2",2015,"1",27.9921481749462,50.5,14.3,22,12.6
"LTER01","Q1.2",2016,"1",28.0406091074866,32.9,42.5,24.6,0
"LTER02","Q1.2",2016,"1",28.1715244481593,0.6,17.1,77.6,3.5
"LTER03","Q1.2",2016,"1",28.164708877111,11.8,1.8,71.2,15.3
"LTER04","Q1.2",2016,"1",28.0995342611403,34.8,3.7,49.4,12.2
"LTER05","Q1.2",2016,"1",28.2164700007308,0,0,57.5,39.2
"LTER06","Q1.2",2016,"1",28.2387807610512,67.4,8.8,17.1,6.1
"LTER01","Q1.2",2017,"1",28.3689186879477,14.6,62.6,21.6,0
"LTER02","Q1.2",2017,"1",28.3462896403142,2.3,34.9,52,3.4
"LTER03","Q1.2",2017,"1",28.3763806299676,60.6,1.7,15.4,22.3
"LTER04","Q1.2",2017,"1",28.0708088753452,49.7,4,17.1,29.2
"LTER05","Q1.2",2017,"1",28.1966917436435,22.3,0,13.1,53.7
"LTER06","Q1.2",2017,"1",28.3799132867838,35.6,31.6,31.6,0.6
"LTER01","Q1.2",2018,"1",28.0732817797417,35.5,22.4,37.7,0.5
"LTER02","Q1.2",2018,"1",28.0082232156987,8.1,32.4,22.2,3.8
"LTER03","Q1.2",2018,"1",27.9639161917708,20.9,1,54.5,16.8
"LTER05","Q1.2",2018,"1",28.1035164312098,18.1,0.5,18.6,50.5
"LTER06","Q1.2",2018,"1",27.9144224900429,67,3.9,28.5,0
"LTER01","Q1.2",2019,"1",27.2845838001952,46.6,16.9,32.6,0
"LTER02","Q1.2",2019,"1",28.1940967334076,9.6,64.9,13.3,1.1
"LTER03","Q1.2",2019,"1",28.1140556868425,44.3,13.1,17.5,12
"LTER04","Q1.2",2019,"1",27.805624841443,22.2,4.3,14.1,36.7
"LTER05","Q1.2",2019,"1",28.1542794759825,18.7,1.1,15,53.5
"LTER06","Q1.2",2019,"1",28.3183883003953,37.4,29.4,25.1,2.1
"LTER01","Q1.2",2020,"1",28.3060439717665,0,1,0,2
"LTER02","Q1.2",2020,"1",28.1366869747899,0,29.8,0,4.7
"LTER03","Q1.2",2020,"1",28.1726081920207,0,4.2,0,10.5
"LTER04","Q1.2",2020,"1",28.1994896370438,0,0,0,43.2
"LTER05","Q1.2",2020,"1",28.2084073806628,0,36.8,0,42.5
"LTER06","Q1.2",2020,"1",27.9783467231688,0,3.2,0,4.2
"LTER01","Q1.2",2021,"1",28.5024019399302,8.9,30.2,50.3,10.6
"LTER02","Q1.2",2021,"1",28.4131850842418,0,45.9,53,1.1
"LTER03","Q1.2",2021,"1",28.3892764139428,6.6,2.2,74,17.2
"LTER04","Q1.2",2021,"1",28.3469249650564,16.2,4.5,35.2,44.1
"LTER05","Q1.2",2021,"1",28.5428812559888,0,0,87.5,12.5
"LTER06","Q1.2",2021,"1",28.5016351606805,8.3,3.9,75.7,12.2
"LTER01","Q1.3",2005,"1",27.5293184924819,2.5,4.3,86.5,6.7
"LTER02","Q1.3",2005,"1",27.594211757064,0,1.3,26.8,71.9
"LTER03","Q1.3",2005,"1",NA,3,1.8,72.7,22.4
"LTER04","Q1.3",2005,"1",NA,24,0,76,0
"LTER05","Q1.3",2005,"1",NA,77.6,0,9.1,13.3
"LTER06","Q1.3",2005,"1",NA,11.9,7.5,74.4,6.3
"LTER01","Q1.3",2006,"1",28.0624931423347,41.1,0,58.3,0.7
"LTER02","Q1.3",2006,"1",28.2292330092039,0,1.2,16.9,81.9
"LTER03","Q1.3",2006,"1",27.6003052204659,4,0,80.3,15.7
"LTER04","Q1.3",2006,"1",27.5750067609736,9,0,70.7,20.4
"LTER05","Q1.3",2006,"1",27.6266973004021,8,0,34.6,57.4
"LTER06","Q1.3",2006,"1",27.6461775296144,0.6,6,87.5,6
"LTER01","Q1.3",2007,"1",28.0634093245878,13.2,1.6,54.5,0
"LTER02","Q1.3",2007,"1",27.4090923974943,1.6,0,12.4,0
"LTER03","Q1.3",2007,"1",28.0712776324747,1.6,0.5,87.5,7.1
"LTER04","Q1.3",2007,"1",28.0299992839754,4.1,0.5,79.9,14.9
"LTER05","Q1.3",2007,"1",28.117369361003,2.1,0.5,59.3,37
"LTER06","Q1.3",2007,"1",28.0809681683398,9.4,6.2,78.1,5.7
"LTER01","Q1.3",2008,"1",27.6146916441844,19.5,0.5,35.4,44.6
"LTER02","Q1.3",2008,"1",27.7110048381094,0,0,14,86
"LTER03","Q1.3",2008,"1",27.820307308452,0,3,32.5,64.5
"LTER04","Q1.3",2008,"1",27.6445644864074,75.5,0,7.5,17
"LTER05","Q1.3",2008,"1",27.7679004491018,18.6,4.5,35.2,41.7
"LTER06","Q1.3",2008,"1",27.6501033257992,4,0.5,82.8,12.7
"LTER01","Q1.3",2009,"1",27.9906445963182,5.3,3.7,50.3,40.7
"LTER02","Q1.3",2009,"1",28.0414380366696,0,8.6,7.6,83.8
"LTER03","Q1.3",2009,"1",27.994474226357,1.1,1.1,84.4,13.5
"LTER04","Q1.3",2009,"1",27.9707363972128,48.1,0,24.3,27.5
"LTER05","Q1.3",2009,"1",28.0576962174716,1,1.6,74.5,22.9
"LTER06","Q1.3",2009,"1",28.1397490753499,4.1,3.6,68.9,23.3
"LTER01","Q1.3",2010,"1",27.887508013432,16.9,0.5,29.2,53.3
"LTER02","Q1.3",2010,"1",27.9095695528069,0,0,40.8,59.2
"LTER03","Q1.3",2010,"1",27.9704774682195,1.6,0,91.6,6.7
"LTER04","Q1.3",2010,"1",27.8959225000952,31.8,0,66.1,2.1
"LTER05","Q1.3",2010,"1",28.2852811235068,0.5,0,21.7,77.8
"LTER06","Q1.3",2010,"1",27.8899431028905,6.8,6.3,71.1,15.8
"LTER01","Q1.3",2011,"1",27.229412682704,4.2,15.3,28.6,51.8
"LTER02","Q1.3",2011,"1",27.2557628312519,0.5,3.2,92.5,3.8
"LTER03","Q1.3",2011,"1",27.5005280113145,1.6,2.2,88,8.2
"LTER04","Q1.3",2011,"1",27.2244127165429,8.2,2.2,58.5,31.2
"LTER05","Q1.3",2011,"1",27.2567307991495,22.8,1.6,2.6,73
"LTER06","Q1.3",2011,"1",27.2498702041283,7.2,0.6,77.2,15
"LTER01","Q1.3",2012,"1",27.7841114724171,2.7,62.7,20,14.6
"LTER02","Q1.3",2012,"1",27.758065649754,1.6,23.1,35.5,39.8
"LTER03","Q1.3",2012,"1",27.6645911251981,3.7,0.5,89.3,6.4
"LTER04","Q1.3",2012,"1",27.7159185300482,18.5,0,68,13.5
"LTER05","Q1.3",2012,"1",27.8079607537708,7.9,1.7,27.7,62.7
"LTER06","Q1.3",2012,"1",27.7190939144643,10.3,6.2,59.8,23.7
"LTER01","Q1.3",2013,"1",27.6504694813144,8.4,10.1,79.2,1.7
"LTER02","Q1.3",2013,"1",27.506674492737,0,0.5,87.2,12.3
"LTER03","Q1.3",2013,"1",27.5195094462167,5.6,0,87.2,7.2
"LTER04","Q1.3",2013,"1",27.4603885629097,23.1,0,34.4,41.9
"LTER05","Q1.3",2013,"1",27.471182624576,7.1,2.2,47,43.2
"LTER06","Q1.3",2013,"1",27.4961078703076,11.3,1.7,70.6,14.7
"LTER01","Q1.3",2014,"1",27.7898602262202,10.8,18.4,64.3,4.9
"LTER02","Q1.3",2014,"1",27.8362737713179,0,21.2,72.8,4.9
"LTER03","Q1.3",2014,"1",27.8329987813702,20.4,0,71,8.6
"LTER04","Q1.3",2014,"1",27.7586491685873,98.8,0,1.1,0
"LTER05","Q1.3",2014,"1",27.904828222844,3.7,2.7,16,77.5
"LTER06","Q1.3",2014,"1",27.8239230913424,16,0.6,65.2,18.3
"LTER01","Q1.3",2015,"1",28.2533522618363,11.7,15.1,62.6,1.7
"LTER02","Q1.3",2015,"1",27.9682522385216,6,19.2,67,6.6
"LTER03","Q1.3",2015,"1",27.9845805333993,36.5,0,62.9,0.6
"LTER04","Q1.3",2015,"1",27.909146250928,91.8,0,8.2,0
"LTER05","Q1.3",2015,"1",28.0040059573818,1,3.7,14.7,80.6
"LTER06","Q1.3",2015,"1",27.9921481749462,10.9,9.4,54.7,25
"LTER01","Q1.3",2016,"1",28.0406091074866,16,69.1,14.9,0
"LTER02","Q1.3",2016,"1",28.1715244481593,0,6.6,78.9,14.5
"LTER03","Q1.3",2016,"1",28.164708877111,6,2.4,83.3,8.3
"LTER04","Q1.3",2016,"1",28.0995342611403,53.8,0,23.4,22.8
"LTER05","Q1.3",2016,"1",28.2164700007308,1.7,0,0.6,97.2
"LTER06","Q1.3",2016,"1",28.2387807610512,19.2,5.1,67.8,7.9
"LTER01","Q1.3",2017,"1",28.3689186879477,8,55.1,32.4,0.6
"LTER02","Q1.3",2017,"1",28.3462896403142,8,32.4,51.7,1.7
"LTER03","Q1.3",2017,"1",28.3763806299676,14,40.4,44.9,0
"LTER04","Q1.3",2017,"1",28.0708088753452,13,1.1,46.9,37.9
"LTER05","Q1.3",2017,"1",28.1966917436435,7.6,0,34.6,54.1
"LTER06","Q1.3",2017,"1",28.3799132867838,17.9,14.5,64.8,1.7
"LTER01","Q1.3",2018,"1",28.0732817797417,37,15.9,33.9,10.1
"LTER02","Q1.3",2018,"1",28.0082232156987,11.9,21.2,25.9,6.7
"LTER03","Q1.3",2018,"1",27.9639161917708,7,11.3,78,1.6
"LTER04","Q1.3",2018,"1",27.9599065741306,60.1,0,11.5,26.2
"LTER05","Q1.3",2018,"1",28.1035164312098,4.8,0,9.6,85.6
"LTER06","Q1.3",2018,"1",27.9144224900429,29.6,2.7,61.8,4.3
"LTER01","Q1.3",2019,"1",27.2845838001952,49.7,33.2,10.7,3.2
"LTER02","Q1.3",2019,"1",28.1940967334076,6.5,34.1,46.5,7.6
"LTER03","Q1.3",2019,"1",28.1140556868425,39.2,13.8,28.2,0
"LTER04","Q1.3",2019,"1",27.805624841443,41.1,4.7,9.5,31
"LTER05","Q1.3",2019,"1",28.1542794759825,8,27.1,5.9,58
"LTER06","Q1.3",2019,"1",28.3183883003953,32.6,28.7,21.9,10.7
"LTER01","Q1.3",2020,"1",28.3060439717665,0,3.5,0,11
"LTER02","Q1.3",2020,"1",28.1366869747899,0,30,0,3.7
"LTER03","Q1.3",2020,"1",28.1726081920207,0,1.1,0,0
"LTER04","Q1.3",2020,"1",28.1994896370438,0,1.6,0,9.1
"LTER05","Q1.3",2020,"1",28.2084073806628,0,2.1,0,90.1
"LTER06","Q1.3",2020,"1",27.9783467231688,0,3.1,0,11.3
"LTER01","Q1.3",2021,"1",28.5024019399302,8.4,39.7,40.2,11.7
"LTER02","Q1.3",2021,"1",28.4131850842418,1.7,23.8,55.2,19.3
"LTER03","Q1.3",2021,"1",28.3892764139428,0,9.2,87.9,1.8
"LTER04","Q1.3",2021,"1",28.3469249650564,17,7.1,62.6,13.2
"LTER05","Q1.3",2021,"1",28.5428812559888,0,0,11.8,88.2
"LTER06","Q1.3",2021,"1",28.5016351606805,3.2,3.7,88.3,4.8
"LTER01","Q1.4",2005,"1",27.5293184924819,15.4,0,59.4,25.1
"LTER02","Q1.4",2005,"1",27.594211757064,1.9,0,30.2,67.9
"LTER03","Q1.4",2005,"1",NA,0,1.2,43.3,55.5
"LTER04","Q1.4",2005,"1",NA,33.3,0,40.5,26.2
"LTER05","Q1.4",2005,"1",NA,0,0,71.7,28.3
"LTER06","Q1.4",2005,"1",NA,5.5,12.7,70.3,11.5
"LTER01","Q1.4",2006,"1",28.0624931423347,19.7,0,79,1.3
"LTER02","Q1.4",2006,"1",28.2292330092039,0,0,22.6,77.4
"LTER04","Q1.4",2006,"1",27.5750067609736,56.1,1.7,19.7,22.5
"LTER05","Q1.4",2006,"1",27.6266973004021,1.8,0,14.7,83.6
"LTER06","Q1.4",2006,"1",27.6461775296144,15.4,7.1,68,9.5
"LTER01","Q1.4",2007,"1",28.0634093245878,5.7,1.6,54.7,0
"LTER02","Q1.4",2007,"1",27.4090923974943,1,0,27.6,0
"LTER03","Q1.4",2007,"1",28.0712776324747,0.5,1.6,67.4,24.2
"LTER04","Q1.4",2007,"1",28.0299992839754,7.1,0,66.8,26
"LTER06","Q1.4",2007,"1",28.0809681683398,2.6,9.3,69.1,19
"LTER01","Q1.4",2008,"1",27.6146916441844,10.7,0,41.6,47.7
"LTER02","Q1.4",2008,"1",27.7110048381094,0,0,26.5,73.5
"LTER03","Q1.4",2008,"1",27.820307308452,0,4,8,88
"LTER04","Q1.4",2008,"1",27.6445644864074,43,1.5,8.5,47
"LTER05","Q1.4",2008,"1",27.7679004491018,6.5,0,54,39.5
"LTER06","Q1.4",2008,"1",27.6501033257992,49.5,2.5,42.5,3.5
"LTER01","Q1.4",2009,"1",27.9906445963182,4.3,1.1,47.3,47.3
"LTER02","Q1.4",2009,"1",28.0414380366696,0,2,25.3,72.7
"LTER03","Q1.4",2009,"1",27.994474226357,0,2.6,44,53.3
"LTER04","Q1.4",2009,"1",27.9707363972128,81,0,0,18.9
"LTER05","Q1.4",2009,"1",28.0576962174716,0,0,59.1,40.8
"LTER06","Q1.4",2009,"1",28.1397490753499,31.6,3.6,53.9,10.9
"LTER01","Q1.4",2010,"1",27.887508013432,0,1.5,43.8,54.6
"LTER02","Q1.4",2010,"1",27.9095695528069,0,1.6,24.9,73.5
"LTER03","Q1.4",2010,"1",27.9704774682195,0,0,97.3,2.7
"LTER04","Q1.4",2010,"1",27.8959225000952,17.7,0,79.6,2.7
"LTER05","Q1.4",2010,"1",28.2852811235068,0,0,79.3,20.7
"LTER06","Q1.4",2010,"1",27.8899431028905,19.3,6.4,52.9,20.8
"LTER01","Q1.4",2011,"1",27.229412682704,4.2,16.9,54.5,24.3
"LTER02","Q1.4",2011,"1",27.2557628312519,0,11.8,25.8,62.4
"LTER03","Q1.4",2011,"1",27.5005280113145,1.6,1.1,95.7,1.6
"LTER04","Q1.4",2011,"1",27.2244127165429,38.7,0.6,45.9,14.9
"LTER05","Q1.4",2011,"1",27.2567307991495,6.9,2.1,34,56.9
"LTER06","Q1.4",2011,"1",27.2498702041283,31.2,3.4,52.3,12.5
"LTER01","Q1.4",2012,"1",27.7841114724171,0,81.7,16.1,2.3
"LTER02","Q1.4",2012,"1",27.758065649754,1.1,4.5,66.5,27.9
"LTER03","Q1.4",2012,"1",27.6645911251981,2.2,1.6,89.6,6.5
"LTER04","Q1.4",2012,"1",27.7159185300482,42.1,1.1,32.6,24.1
"LTER05","Q1.4",2012,"1",27.8079607537708,10.1,1.1,77.5,11.2
"LTER06","Q1.4",2012,"1",27.7190939144643,24.4,17.2,38.9,19.4
"LTER01","Q1.4",2013,"1",27.6504694813144,0,31.8,63,5.3
